origin_id_user,destination_id_user,created_at
4350668590575230341,3870106424497511897,2021-09-15 13:52:54.598155+00
4350668590575230341,3018088045640517259,2021-09-17 11:48:11.561292+00
4350668590575230341,1668027179608367102,2021-10-22 13:12:40.970943+00
4350668590575230341,6174749701971750448,2021-09-18 10:43:27.914028+00
4350668590575230341,2489818616608914550,2021-09-20 08:58:25.660369+00
4350668590575230341,2836361692710868655,2021-09-22 09:30:36.921599+00
4350668590575230341,3390355576375252310,2021-09-23 11:17:39.463045+00
4350668590575230341,5648262051120687774,2021-09-23 15:59:27.479267+00
4350668590575230341,2578929799196767354,2021-10-14 16:50:44.648199+00
4350668590575230341,3744693109442192459,2021-09-28 13:43:11.520275+00
4350668590575230341,1082671311146278551,2021-09-28 20:58:58.583677+00
4350668590575230341,1715586362100356219,2021-09-29 19:35:48.397423+00
4350668590575230341,3613012534586961844,2021-09-29 14:41:30.606969+00
4350668590575230341,852218859156961880,2021-09-30 19:12:36.258787+00
4350668590575230341,960493992783754669,2021-11-23 10:31:55.001242+00
4350668590575230341,7628093570866960481,2021-12-08 17:46:26.532948+00
4350668590575230341,9143646311318884766,2021-09-29 19:31:23.804499+00
4350668590575230341,8872430092191458302,2021-10-11 15:43:30.671893+00
4350668590575230341,3245017338150707394,2021-09-29 14:40:41.242144+00
4350668590575230341,4057692507517065207,2021-09-30 19:08:11.580954+00
4350668590575230341,824820584362071772,2021-09-30 19:07:52.410612+00
4350668590575230341,7848183611971535216,2021-10-01 08:01:26.052097+00
4350668590575230341,68001600468239777,2021-10-04 17:35:26.601461+00
4350668590575230341,8316698910622395297,2021-10-05 07:41:26.108737+00
4350668590575230341,3459107737436234064,2021-11-01 11:07:09.594897+00
4350668590575230341,4589516626865697020,2021-10-06 13:02:11.869045+00
4350668590575230341,4279537359970855126,2021-10-06 07:20:14.683495+00
4350668590575230341,5661834412713104628,2021-10-06 07:14:44.347475+00
4350668590575230341,6686187786632041442,2021-10-06 13:02:25.847842+00
4350668590575230341,4273943099609635291,2021-10-10 17:02:36.27472+00
4350668590575230341,6852957380005004640,2021-10-10 19:25:10.637162+00
4350668590575230341,3280984547293264518,2021-10-11 09:05:26.896815+00
4350668590575230341,2829544373459232921,2021-10-12 13:09:51.714433+00
4350668590575230341,7826153543489358003,2021-10-18 08:54:17.151712+00
4350668590575230341,6199058642517952355,2021-10-18 07:23:01.137102+00
4350668590575230341,6994746847176157285,2021-10-19 13:20:10.823827+00
4350668590575230341,104905178569146556,2021-10-27 14:17:23.619254+00
4350668590575230341,6286861472394897416,2021-10-20 12:02:34.792862+00
4350668590575230341,6791130301447393720,2021-10-21 13:57:11.671917+00
4350668590575230341,1151734815402682133,2021-10-22 09:27:58.66379+00
4350668590575230341,775694572212083131,2021-10-23 07:50:06.538676+00
4350668590575230341,522055245058699995,2021-10-27 15:32:27.605217+00
4350668590575230341,1157893618871766570,2021-10-28 07:53:11.991821+00
4350668590575230341,6761333884793039736,2021-11-08 11:28:20.295574+00
4350668590575230341,3178942752947523156,2021-10-27 15:32:19.906901+00
4350668590575230341,866237679666311607,2021-10-27 13:52:58.321627+00
4350668590575230341,6224883478991034519,2021-10-28 16:25:21.706261+00
4350668590575230341,9098437656050256454,2021-10-27 15:32:17.266244+00
4350668590575230341,8535461923246852866,2021-11-22 14:40:01.808642+00
4350668590575230341,1687296154824198506,2021-11-30 12:44:47.915135+00
4350668590575230341,2687127370057624664,2021-11-30 17:39:58.789494+00
4350668590575230341,36206596142500951,2021-12-01 08:14:25.853772+00
4350668590575230341,7844742469977255158,2021-12-06 08:22:26.913267+00
4350668590575230341,6446851241872348458,2021-12-12 15:13:00.151328+00
4350668590575230341,5738260823421365724,2021-12-08 09:37:00.033405+00
4350668590575230341,5592449374212717617,2021-12-08 17:46:23.661591+00
4350668590575230341,6534322799637488378,2021-12-20 10:22:26.887664+00
4350668590575230341,6601872255176848735,2021-12-20 10:21:38.345569+00
4350668590575230341,4460897626862484348,2022-02-04 07:49:52.911709+00
5662611761154100570,4350668590575230341,2021-07-15 08:38:34.304402+00
